slug	name	priorityRank	graph_version	v23	zones_geo	lots_geo	signaux	citations_pct	focus30
amos	Amos	936	2.3	1	nd	515	8	38	0
saint-edouard-de-fabre	Saint-Édouard-de-Fabre	937	2.3	1	0	nd	0	0	0
portneuf-sur-mer	Portneuf-sur-Mer	938	none	0	0	nd	nd	nd	0
remigny	Rémigny	939	2.3	1	0	nd	2	100	0
laverlochere-angliers	Laverlochère-Angliers	940	2.3	1	0	512	3	100	0
chapais	Chapais	941	none	0	0	nd	nd	nd	0
preissac	Preissac	942	2.3	1	nd	nd	5	100	0
lorrainville	Lorrainville	943	2.3	1	0	1014	0	0	0
saint-valerien	Saint-Valérien	944	2.3	1	0	nd	3	100	0
la-trinite-des-monts	La Trinité-des-Monts	945	2.3	1	0	539	2	100	0
chibougamau	Chibougamau	946	2.3	1	0	nd	304	43	0
saint-felix-de-dalquier	Saint-Félix-de-Dalquier	947	2.3	1	0	nd	0	0	0
saint-narcisse-de-rimouski	Saint-Narcisse-de-Rimouski	948	2.3	1	0	nd	0	0	0
ville-marie	Ville-Marie	949	2.3	1	0	nd	3	100	0
forestville	Forestville	950	2.3	1	0	nd	4	100	0
rimouski	Rimouski	951	2.3	1	nd	nd	12	100	0
duhamel-ouest	Duhamel-Ouest	952	none	0	0	973	nd	nd	0
saint-eugene-de-guigues	Saint-Eugène-de-Guigues	953	2.3	1	0	nd	0	0	0
guerin	Guérin	954	none	0	0	689	nd	nd	0
rouyn-noranda	Rouyn-Noranda	955	2.3	1	nd	nd	6	50	0
saint-dominique-du-rosaire	Saint-Dominique-du-Rosaire	956	2.2	0	0	nd	1	0	0
sainte-gertrude-manneville	Sainte-Gertrude-Manneville	957	2.3	1	0	nd	2	0	0
trecesson	Trécesson	958	2.3	1	0	nd	2	100	0
saint-bruno-de-guigues	Saint-Bruno-de-Guigues	959	2.3	1	0	nd	2	0	0
notre-dame-du-nord	Notre-Dame-du-Nord	960	none	0	0	nd	nd	nd	0
nedelec	Nédélec	961	2.3	1	0	nd	3	100	0
saint-marcellin	Saint-Marcellin	962	2.3	1	0	nd	0	0	0
saint-anaclet-de-lessard	Saint-Anaclet-de-Lessard	963	2.3	1	0	nd	5	100	0
launay	Launay	964	2.3	1	0	327	3	100	0
colombier	Colombier	965	none	0	0	520	nd	nd	0
berry	Berry	966	2.3	1	0	194	1	100	0
sainte-luce	Sainte-Luce	967	2.3	1	0	nd	0	0	0
saint-gabriel-de-rimouski	Saint-Gabriel-de-Rimouski	968	2.3	1	0	nd	1	100	0
les-hauteurs	Les Hauteurs	969	none	0	nd	626	nd	nd	0
saint-donat-la-mitis	Saint-Donat	970	2.3	1	0	0	4	0	0
saint-charles-garnier	Saint-Charles-Garnier	971	2.3	1	0	nd	2	100	0
taschereau	Taschereau	972	2.3	1	0	nd	0	0	0
saint-joseph-de-lepage	Saint-Joseph-de-Lepage	973	2.3	1	0	nd	0	0	0
sainte-flavie	Sainte-Flavie	974	2.3	1	0	nd	0	0	0
mont-joli	Mont-Joli	975	2.3	1	0	nd	9	100	0
sainte-angele-de-merici	Sainte-Angèle-de-Mérici	976	2.3	1	0	nd	0	0	0
authier	Authier	977	2.3	1	0	508	4	100	0
sainte-jeanne-darc-la-mitis	Sainte-Jeanne-d'Arc	978	2.3	1	0	0	0	0	0
price	Price	979	none	0	0	nd	nd	nd	0
poularies	Poularies	980	2.3	1	0	nd	2	100	0
la-redemption	La Rédemption	981	2.3	1	0	652	6	100	0
duparquet	Duparquet	982	2.3	1	0	470	0	0	0
grand-metis	Grand-Métis	983	2.3	1	0	585	5	100	0
saint-octave-de-metis	Saint-Octave-de-Métis	984	2.3	1	0	nd	0	0	0
sainte-germaine-boule	Sainte-Germaine-Boulé	985	2.3	1	0	nd	0	0	0
padoue	Padoue	986	none	0	0	nd	nd	nd	0
metis-sur-mer	Métis-sur-Mer	987	2.3	1	0	nd	9	100	0
saint-moise	Saint-Moïse	988	2.3	1	0	nd	1	100	0
authier-nord	Authier-Nord	989	2.3	1	0	79	4	75	0
ragueneau	Ragueneau	990	2.3	1	0	nd	0	0	0
saint-zenon-du-lac-humqui	Saint-Zénon-du-Lac-Humqui	991	2.3	1	0	nd	0	0	0
macamic	Macamic	992	2.3	1	0	nd	5	100	0
lascension-de-patapedia	L'Ascension-de-Patapédia	993	none	0	nd	346	nd	nd	0
rapide-danseur	Rapide-Danseur	994	2.3	1	0	nd	0	0	0
palmarolle	Palmarolle	995	2.3	1	0	nd	10	100	0
saint-cleophas	Saint-Cléophas	996	2.3	1	0	nd	2	100	0
saint-noel	Saint-Noël	997	2.3	1	0	nd	2	0	0
gallichan	Gallichan	998	2.3	1	0	675	0	0	0
sainte-irene	Sainte-Irène	999	2.3	1	0	nd	0	0	0
chazel	Chazel	1000	2.3	1	0	nd	2	100	0
pointe-aux-outardes	Pointe-aux-Outardes	1001	2.3	1	0	nd	0	0	0
saint-leon-le-grand-la-matapedia	Saint-Léon-le-Grand	1002	2.3	1	0	0	4	100	0
saint-damase-la-matapedia	Saint-Damase	1003	2.3	1	0	0	3	0	0
baie-des-sables	Baie-des-Sables	1004	2.3	1	0	1112	271	26	0
saint-francois-dassise	Saint-François-d'Assise	1005	2.3	1	nd	nd	0	0	0
chute-aux-outardes	Chute-aux-Outardes	1006	none	0	0	nd	nd	nd	0
matagami	Matagami	1007	2.3	1	0	nd	5	20	0
sayabec	Sayabec	1008	2.3	1	0	nd	5	0	0
roquemaure	Roquemaure	1009	2.3	1	0	nd	0	0	0
sainte-helene-de-mancebourg	Sainte-Hélène-de-Mancebourg	1010	2.3	1	0	nd	0	0	0
la-sarre	La Sarre	1011	2.3	1	nd	4234	5	100	0
val-brillant	Val-Brillant	1012	2.3	1	0	nd	0	0	0
albertville	Albertville	1013	2.3	1	0	637	3	100	0
saint-alexis-de-matapedia	Saint-Alexis-de-Matapédia	1014	2.3	1	nd	nd	0	0	0
clermont-abitibi-ouest	Clermont	1015	2.3	1	0	0	2	100	0
pointe-lebel	Pointe-Lebel	1016	none	0	0	nd	nd	nd	0
