slug	name	priorityRank	graph_version
newport	Newport	511	2.3
east-hereford	East Hereford	512	2.3
weedon	Weedon	513	2.3
lac-saguay	Lac-Saguay	514	2.3
saint-julien	Saint-Julien	515	2.3
saint-venant-de-paquette	Saint-Venant-de-Paquette	516	2.3
saint-jacques-le-majeur-de-wolfestown	Saint-Jacques-le-Majeur-de-Wolfestown	517	2.3
sainte-thecle	Sainte-Thècle	518	2.3
saint-casimir	Saint-Casimir	519	2.3
bowman	Bowman	520	2.3
kiamika	Kiamika	521	2.3
saint-pierre-baptiste	Saint-Pierre-Baptiste	522	2.3
leclercville	Leclercville	523	2.3
laurierville	Laurierville	524	2.3
cantley	Cantley	525	2.3
beaulac-garthby	Beaulac-Garthby	526	none
saint-thuribe	Saint-Thuribe	527	2.3
denholm	Denholm	528	2.3
irlande	Irlande	529	none
val-alain	Val-Alain	530	2.3
lac-du-cerf	Lac-du-Cerf	531	2.3
deschambault-grondines	Deschambault-Grondines	532	2.3
saint-ubalde	Saint-Ubalde	533	2.3
lingwick	Lingwick	534	none
saint-marc-des-carrieres	Saint-Marc-des-Carrières	535	2.3
lac-aux-sables	Lac-aux-Sables	536	2.3
disraeli-les-appalaches	Disraeli	537	2.3
trois-rives	Trois-Rives	538	2.3
lotbiniere	Lotbinière	539	none
disraeli-les-appalaches-2	Disraeli	540	none
scotstown	Scotstown	541	2.3
chelsea	Chelsea	542	2.3
saint-adrien-dirlande	Saint-Adrien-d'Irlande	543	2.3
lac-des-ecorces	Lac-des-Écorces	544	2.3
saint-edouard-de-lotbiniere	Saint-Édouard-de-Lotbinière	545	2.3
stratford	Stratford	546	2.3
saint-jean-de-brebeuf	Saint-Jean-de-Brébeuf	547	2.3
saint-alban	Saint-Alban	548	2.3
hampden	Hampden	549	2.3
lyster	Lyster	550	2.2
chute-saint-philippe	Chute-Saint-Philippe	551	2.3
inverness	Inverness	552	2.3
saint-gilbert	Saint-Gilbert	553	2.3
saint-joseph-de-coleraine	Saint-Joseph-de-Coleraine	554	2.3
la-patrie	La Patrie	555	2.3
saint-janvier-de-joly	Saint-Janvier-de-Joly	556	2.3
saint-aime-du-lac-des-iles	Saint-Aimé-du-Lac-des-Îles	557	2.3
notre-dame-de-montauban	Notre-Dame-de-Montauban	558	2.3
chartierville	Chartierville	559	2.3
notre-dame-de-pontmain	Notre-Dame-de-Pontmain	560	none
sainte-praxede	Sainte-Praxède	561	2.3
lac-sainte-marie	Lac-Sainte-Marie	562	2.3
stornoway	Stornoway	563	2.3
portneuf	Portneuf	564	2.3
sainte-croix	Sainte-Croix	565	2.3
low	Low	566	2.3
laurier-station	Laurier-Station	567	2.3
milan	Milan	568	none
thetford-mines	Thetford Mines	569	2.3
kinnears-mills	Kinnear's Mills	570	2.3
dosquet	Dosquet	571	2.3
sainte-christine-dauvergne	Sainte-Christine-d'Auvergne	572	2.3
lac-saint-paul	Lac-Saint-Paul	573	2.2
notre-dame-du-sacre-coeur-dissoudun	Notre-Dame-du-Sacré-Coeur-d'Issoudun	574	2.3
cap-sante	Cap-Santé	575	2.3
saint-flavien	Saint-Flavien	576	2.3
sainte-agathe-de-lotbiniere	Sainte-Agathe-de-Lotbinière	577	2.3
donnacona	Donnacona	578	2.3
saint-jacques-de-leeds	Saint-Jacques-de-Leeds	579	2.3
val-racine	Val-Racine	580	2.3
saint-romain	Saint-Romain	581	2.3
la-peche	La Pêche	582	2.3
saint-basile	Saint-Basile	583	2.3
mont-laurier	Mont-Laurier	584	2.3
notre-dame-des-bois	Notre-Dame-des-Bois	585	2.3
gracefield	Gracefield	586	2.3
lambton	Lambton	587	2.3
sainte-therese-de-la-gatineau	Sainte-Thérèse-de-la-Gatineau	588	2.3
mont-saint-michel	Mont-Saint-Michel	589	2.3
bouchette	Bouchette	590	2.3
adstock	Adstock	591	2.3
saint-leonard-de-portneuf	Saint-Léonard-de-Portneuf	592	2.3
pontiac	Pontiac	593	2.3
nantes	Nantes	594	2.3
riviere-a-pierre	Rivière-à-Pierre	595	2.3
deleage	Déléage	596	2.3
kazabazua	Kazabazua	597	2.3
saint-agapit	Saint-Agapit	598	2.3
saint-antoine-de-tilly	Saint-Antoine-de-Tilly	599	2.3
saint-apollinaire	Saint-Apollinaire	600	2.3
saint-pierre-de-broughton	Saint-Pierre-de-Broughton	601	2.3
neuville	Neuville	602	2.3
saint-gilles	Saint-Gilles	603	2.3
pont-rouge	Pont-Rouge	604	2.3
marston	Marston	605	2.3
courcelles-saint-evariste	Courcelles-Saint-Évariste	606	2.3
piopolis	Piopolis	607	2.3
saint-sylvestre	Saint-Sylvestre	608	2.3
saint-sebastien-le-granit	Saint-Sébastien	609	2.3
saint-patrice-de-beaurivage	Saint-Patrice-de-Beaurivage	610	2.3
sainte-cecile-de-whitton	Sainte-Cécile-de-Whitton	611	2.3
aumond	Aumond	612	2.3
sainte-clotilde-de-beauce	Sainte-Clotilde-de-Beauce	613	2.3
lac-sergent	Lac-Sergent	614	2.3
east-broughton	East Broughton	615	2.3
sacre-coeur-de-jesus	Sacré-Coeur-de-Jésus	616	2.3
lac-megantic	Lac-Mégantic	617	none
blue-sea	Blue Sea	618	2.3
saint-narcisse-de-beaurivage	Saint-Narcisse-de-Beaurivage	619	2.3
sainte-anne-du-lac	Sainte-Anne-du-Lac	620	2.3
maniwaki	Maniwaki	621	2.3
messines	Messines	622	2.3
la-guadeloupe	La Guadeloupe	623	2.3
saint-raymond	Saint-Raymond	624	2.3
ferme-neuve	Ferme-Neuve	625	2.3
sainte-catherine-de-la-jacques-cartier	Sainte-Catherine-de-la-Jacques-Cartier	626	2.3
alleyn-et-cawood	Alleyn-et-Cawood	627	2.3
saint-augustin-de-desmaures	Saint-Augustin-de-Desmaures	628	2.3
saint-augustin-de-woburn	Saint-Augustin-de-Woburn	629	2.3
saint-ephrem-de-beauce	Saint-Éphrem-de-Beauce	630	2.3
egan-sud	Egan-Sud	631	2.3
lac-drolet	Lac-Drolet	632	2.3
saint-severin-beauce-centre	Saint-Séverin	633	2.3
saint-hilaire-de-dorset	Saint-Hilaire-de-Dorset	634	2.3
fossambault-sur-le-lac	Fossambault-sur-le-Lac	635	2.3
saint-bernard	Saint-Bernard	636	2.3
frontenac	Frontenac	637	2.3
tring-jonction	Tring-Jonction	638	2.3
lac-saint-joseph	Lac-Saint-Joseph	639	2.3
saint-elzear-la-nouvelle-beauce	Saint-Elzéar	640	2.3
bois-franc	Bois-Franc	641	2.3
saint-lambert-de-lauzon	Saint-Lambert-de-Lauzon	642	2.3
saint-victor	Saint-Victor	643	2.3
saint-frederic	Saint-Frédéric	644	2.3
grand-remous	Grand-Remous	645	2.2
saint-jules	Saint-Jules	646	2.3
cayamant	Cayamant	647	2.3
shannon	Shannon	648	2.3
saint-honore-de-shenley	Saint-Honoré-de-Shenley	649	2.3
audet	Audet	650	none
scott	Scott	651	2.3
lac-poulin	Lac-Poulin	652	none
lancienne-lorette	L'Ancienne-Lorette	653	2.3
sainte-marie	Sainte-Marie	654	2.3
saint-benoit-labre	Saint-Benoît-Labre	655	2.3
levis	Lévis	656	2.3
saint-joseph-des-erables	Saint-Joseph-des-Érables	657	2.3
thorne	Thorne	658	2.3
saint-alfred	Saint-Alfred	659	2.3
saint-isidore-la-nouvelle-beauce	Saint-Isidore	660	2.3
vallee-jonction	Vallée-Jonction	661	2.3
bristol	Bristol	662	none
saint-ludger	Saint-Ludger	663	2.3
shawville	Shawville	664	2.3
montcerf-lytton	Montcerf-Lytton	665	2.3
quebec	Québec	666	none
saint-gabriel-de-valcartier	Saint-Gabriel-de-Valcartier	667	2.3
otter-lake	Otter Lake	668	2.3
clarendon	Clarendon	669	2.3
sainte-henedine	Sainte-Hénédine	670	2.3
saint-gedeon-de-beauce	Saint-Gédéon-de-Beauce	671	2.3
saint-joseph-de-beauce	Saint-Joseph-de-Beauce	672	2.3
saints-anges	Saints-Anges	673	2.3
notre-dame-des-anges	Notre-Dame-des-Anges	674	none
beauceville	Beauceville	675	2.3
saint-martin	Saint-Martin	676	2.3
sainte-marguerite	Sainte-Marguerite	677	2.3
lac-delage	Lac-Delage	678	none
notre-dame-des-pins	Notre-Dame-des-Pins	679	none
saint-georges	Saint-Georges	680	2.3
saint-henri	Saint-Henri	681	2.3
saint-anselme	Saint-Anselme	682	2.3
saint-rene	Saint-René	683	2.3
litchfield	Litchfield	684	2.3
campbells-bay	Campbell's Bay	685	2.3
saint-robert-bellarmin	Saint-Robert-Bellarmin	686	2.3
bryson	Bryson	687	none
la-bostonnais	La Bostonnais	688	2.3
saint-simon-les-mines	Saint-Simon-les-Mines	689	2.3
